BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
GUDLURU,Cereals,2013,12,10,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.6643,79.4733
INKOLLU,Cereals,2013,12,14,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.6643,79.4733
DARSI,Cereals,2013,12,26,"Paddy Dhan",PRAKASAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","bavistin 1 gL water",15.6643,79.4733
DORNIPADU,Cereals,2013,10,29,"Paddy Dhan",KURNOOL,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.8309,78.0425
PEDDAKADABUR,Cereals,2013,11,10,"Paddy Dhan",KURNOOL,nan,nan,AGRICULTURE,"ANDHRA PRADESH","FALSE SMUT","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.8309,78.0425
RUDRAVARAM,Cereals,2013,11,13,"Paddy Dhan",KURNOOL,nan,nan,AGRICULTURE,"ANDHRA PRADESH","FALSE SMUT","tilt 2 mlL water",15.8309,78.0425
NANDYAL,Cereals,2013,11,13,"Paddy Dhan",KURNOOL,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.8309,78.0425
OWK,Cereals,2013,11,28,"Paddy Dhan",KURNOOL,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","spray carbendazim 250 gramsacre",15.8309,78.0425
KODUMUR,Cereals,2013,12,2,"Paddy Dhan",KURNOOL,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.8309,78.0425
KODUMUR,Cereals,2013,12,2,"Paddy Dhan",KURNOOL,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.8309,78.0425
DHARMAVARAM,Cereals,2013,10,17,"Paddy Dhan",ANANTPUR,nan,nan,AGRICULTURE,"ANDHRA PRADESH","FALSE SMUT IN RICE","BLITOX 600GRAms per acre",13.5747,78.5029
RODDAM,Cereals,2013,11,15,"Paddy Dhan",ANANTPUR,nan,nan,AGRICULTURE,"ANDHRA PRADESH","control of false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",13.5747,78.5029
